"Name","Average.User.Rating","User.Rating.Count","Price","Developer","Age.Rating","Languages","Size","Primary.Genre","Genres"
"47","ChartFight SP",3,2482,0.99,"Mutant Piano Software","4+","NL, EN",14894080,"Games","Games, Strategy, Board"
"48","Robo Logic",3.5,77,0.99,"digitalsirup GmbH","4+","EN, FR, DE, JA",5044648,"Games","Games, Puzzle, Education, Strategy"
"49","RoboLogic Lite",3,1461,0,"digitalsirup GmbH","4+","EN, DE",2584622,"Games","Games, Strategy, Puzzle"
"50","Kakinoki Shogi (Japanese Chess)",4,75,4.99,"Yoshikazu Kakinoki","4+","EN, JA",18432000,"Games","Games, Strategy, Board"
"51","Kings Corners Free",2.5,1741,0,"Ilium Software, Inc.","4+","EN",2323719,"Games","Games, Entertainment, Card, Strategy"
"52","Flip Ninja",2.5,6,0,"Audacity Software Pte. Ltd.","4+","EN",1112393,"Games","Games, Strategy, Puzzle"
"53","Gun Runner Wars",3,740,0.99,"CUBIC digital","9+","EN",15541248,"Games","Games, Finance, Strategy, Simulation"
"54","Word Zapper",3,89,0.99,"NTP","4+","EN",16785408,"Games","Games, Strategy, Word, Entertainment"
"55","Antivirus",3,187,0,"DeadRatGames","9+","EN",25563136,"Games","Games, Entertainment, Simulation, Strategy"
"56","Arcs",4,413,2.99,"Pomegranate Apps LLC","4+","EN",5106688,"Games","Games, Puzzle, Entertainment, Strategy"
"57","Shogi Kifu",4.06090464224309,3306.53127893136,3.99,"Yoshikazu Kakinoki","4+","EN, JA",29797376,"Games","Games, Strategy, Board"
"58","Shogi Kifu",4.06090464224309,3306.53127893136,3.99,"Yoshikazu Kakinoki","4+","EN, JA",29797376,"Games","Games, Strategy, Board"
"59","Strategery Lite",3.5,9121,0,"Affogato LLC","4+","EN",5421981,"Games","Games, Entertainment, Board, Strategy"
"60","Wedding Dash Deluxe",4.5,17056,0.99,"Glu Games Inc","4+","EN",55803904,"Games","Games, Strategy, Action, Entertainment"
"61","Agency Wars Lite",2.5,17045,0,"MindJolt","4+","EN",7543757,"Games","Games, Entertainment, Strategy, Role Playing"
"62","Touch Physics Lite",3.5,42210,0,"Gamez 4 Touch","4+","EN",16556848,"Games","Games, Puzzle, Strategy, Entertainment"
"63","FIREWALL: Defender FREE",2.5,1156,0,"Solus Games","4+","EN",6122222,"Games","Games, Strategy, Entertainment, Puzzle"
"64","PocketSports Football Lite",2.5,20234,0,"Solus Games","12+","EN",4528173,"Games","Games, Sports, Entertainment, Strategy"
"65","BallSnare",3.5,7,0.99,"John Gregorek","4+","EN",3824640,"Games","Games, Entertainment, Casual, Strategy"
"66","Wordology",3.5,125,2.99,"Cerebral Gardens","4+","EN",98282496,"Games","Games, Entertainment, Word, Strategy"
"67","Omar Sharif Bridge",2.5,359,5.99,"ZingMagic Limited","4+","EN",33982464,"Games","Games, Card, Entertainment, Strategy"
"68","PahJong Hurricane",3,6,0.99,"John Gregorek","4+","EN",3134464,"Games","Games, Entertainment, Casual, Strategy"
"69","Wedding Dash",4,101209,0,"Glu Games Inc","4+","EN",58343424,"Games","Games, Strategy, Action, Entertainment"
"70","PahJong Tsunami",4.06090464224309,3306.53127893136,0.99,"John Gregorek","4+","EN",2974720,"Games","Games, Entertainment, Strategy, Casual"
"71","Slay",3,4885,3.99,"\"Sean O'Connor\"","9+","EN",59016192,"Games","Games, Board, Strategy"
"72","Paintball II",2,84,2.99,"CrazySoft Limited","4+","EN",6466560,"Games","Games, Puzzle, Entertainment, Strategy"
